"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
259,4,"CDC Greenstar AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.0125,80,0.0124915487463546,80.0541246170001
435,4,"CDC Greenstar AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.0125,80,0.0124915487463546,80.0541246170001
838,4,"CDC Greenstar AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.012346,81,0.0124915487463546,80.0541246170001
2178,4,"CDC Greenstar AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008065,124,0.00836701326142165,119.516961280648
2367,4,"CDC Greenstar AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008065,124,0.00836701326142165,119.516961280648
2760,4,"CDC Greenstar AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008065,124,0.00836701326142165,119.516961280648
2203,4,"CDC Greenstar AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008,125,0.0111662299414131,89.5557413063132
2623,4,"CDC Greenstar AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0111662299414131,89.5557413063132
2681,4,"CDC Greenstar AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008547,117,0.0111662299414131,89.5557413063132
1072,4,"CDC Greenstar AGL","1","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008696,115,0.00908559912302509,110.064288161885
1402,4,"CDC Greenstar AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00908559912302509,110.064288161885
1707,4,"CDC Greenstar AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00908559912302509,110.064288161885
312,4,"CDC Greenstar AGL","1","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.0076456023112149,130.794142736558
562,4,"CDC Greenstar AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.0076456023112149,130.794142736558
913,4,"CDC Greenstar AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.007246,138,0.0076456023112149,130.794142736558
2279,4,"CDC Greenstar AGL","1","Central Ferry, USA 2018","Us18",15.8,14.3,0.017544,57,0.0155325381029875,64.3809783932006
2591,4,"CDC Greenstar AGL","2","Central Ferry, USA 2018","Us18",15.8,14.3,0.016393,61,0.0155325381029875,64.3809783932006
2879,4,"CDC Greenstar AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.016393,61,0.0155325381029875,64.3809783932006
140,4,"CDC Greenstar AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011628,86,0.0108227540750523,92.3979232148604
564,4,"CDC Greenstar AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011494,87,0.0108227540750523,92.3979232148604
825,4,"CDC Greenstar AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011905,84,0.0108227540750523,92.3979232148604
3229,4,"CDC Greenstar AGL","1","Bardiya, Nepal 2016","Ne16",19.2,11,0.008065,124,0.0114181866639771,87.579580666243
3853,4,"CDC Greenstar AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0114181866639771,87.579580666243
6352,4,"CDC Greenstar AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.020408,49,0.0198095940551229,50.4805902239775
6553,4,"CDC Greenstar AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019231,52,0.0198095940551229,50.4805902239775
6806,4,"CDC Greenstar AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0198095940551229,50.4805902239775
5306,4,"CDC Greenstar AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.017857,56,0.0185300348220799,53.966439329538
5746,4,"CDC Greenstar AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.017241,58,0.0185300348220799,53.966439329538
5844,4,"CDC Greenstar AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.017857,56,0.0185300348220799,53.966439329538
