"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Bhopal, India 2016",56,0.0180005,17.6,10.9,97.9577971721357
"Bhopal, India 2017",60,0.0167076666666667,20.6,10.7,90.5631907526221
"Marchouch, Morocco 2016",126,0.007937,12,10.8,122.392832351618
"Marchouch, Morocco 2017",117,0.008547,11.8,11.5,108.655366807404
"Jessore, Bangladesh 2016",75.6666666666667,0.0132163333333333,18.6,10.8,82.7975765962465
"Jessore, Bangladesh 2017",76.6666666666667,0.013044,21.7,11,69.7597536032499
"Central Ferry, USA 2018",63.5,0.0157725,15.8,14.3,62.0492916808488
"Sutherland, Canada 2016",57.6666666666667,0.017349,16.7,15.9,54.6897690039252
"Sutherland, Canada 2017",57.6666666666667,0.017349,15.7,16.1,54.6213434868149
"Sutherland, Canada 2018",52.6666666666667,0.0190126666666667,17.6,16.1,52.7930589901058
"Metaponto, Italy 2016",129.333333333333,0.007735,10.6,10.9,138.76944532072
"Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,138.027750204982
"Rosthern, Canada 2016",52.6666666666667,0.0189936666666667,17.2,16.1,55.1378908099747
"Rosthern, Canada 2017",51,0.019628,17.5,16.4,53.3844093607955
"Bardiya, Nepal 2016",118.666666666667,0.00850833333333333,19.2,11,88.6325899771841
